Nº,Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank for 2020
1,Switzerland,962,84.0,16.5,13.9,66933,5,3
2,Norway,961,83.2,18.2,13.0,64660,6,1
3,Iceland,959,82.7,19.2,13.8,55782,11,2
4,"Hong Kong, China (SAR)",952,85.5,17.3,12.2,62607,6,4
5,Australia,951,84.5,21.1,12.7,49238,18,5
6,Denmark,948,81.4,18.7,13.0,60365,6,5
7,Sweden,947,83.0,19.4,12.6,54489,9,9
8,Ireland,945,82.0,18.9,11.6,76169,-3,8
9,Germany,942,80.6,17.0,14.1,54534,6,7
10,Netherlands,941,81.7,18.7,12.6,55979,3,10
11,Finland,940,82.0,19.1,12.9,49452,11,12
12,Singapore,939,82.8,16.5,11.9,90919,-10,10
13,Belgium,937,81.9,19.6,12.4,52293,7,16
13,New Zealand,937,82.5,20.3,12.9,44057,16,13
15,Canada,936,82.7,16.4,13.8,46808,9,15
16,Liechtenstein,935,83.3,15.2,12.5,14683,-15,14
17,Luxembourg,930,82.6,14.4,13.0,84649,-13,17
18,United Kingdom,929,80.7,17.3,13.4,45225,9,17
19,Japan,925,84.8,15.2,13.4,42274,12,19
19,Korea (Republic of),925,83.7,16.5,12.5,44501,9,20
21,United States,921,77.2,16.3,13.7,64765,-14,21
22,Israel,919,82.3,16.1,13.3,41524,10,22
23,Malta,918,83.8,16.8,12.2,38884,12,26
23,Slovenia,918,80.7,17.7,12.8,39746,10,23
25,Austria,916,81.6,16.0,12.3,53619,-8,23
26,United Arab Emirates,911,78.7,15.7,12.7,62574,-15,25
27,Spain,905,83.0,17.9,10.6,38354,10,27
28,France,903,82.5,15.8,11.6,45937,-2,28
29,Cyprus,896,81.2,15.6,12.4,38188,9,29
30,Italy,895,82.9,16.2,10.7,42840,0,32
31,Estonia,890,77.1,15.9,13.5,38048,8,30
32,Czechia,889,77.7,16.2,12.9,38745,4,30
33,Greece,887,80.1,20.0,11.4,29002,17,33
34,Poland,876,76.5,16.0,13.2,33034,8,36
35,Bahrain,875,78.8,16.3,11.0,39497,-1,35
35,Lithuania,875,73.7,16.3,13.5,37931,5,34
35,Saudi Arabia,875,76.9,16.1,11.3,46112,-10,38
38,Portugal,866,81.0,16.9,9.6,33155,3,39
39,Latvia,863,73.6,16.2,13.3,32803,4,37
40,Andorra,858,80.4,13.3,10.6,51167,-19,45
40,Croatia,858,77.6,15.1,12.2,30132,8,41
42,Chile,855,78.9,16.7,10.9,24563,14,43
42,Qatar,855,79.3,12.6,10.0,87134,-39,42
44,San Marino,853,80.9,12.3,10.8,52654,-25,46
45,Slovakia,848,74.9,14.5,12.9,30690,1,40
46,Hungary,846,74.5,15.0,12.2,32789,-2,44
47,Argentina,842,75.4,17.9,11.1,20925,17,47
48,Türkiye,838,76.0,18.3,8.6,31033,-3,48
49,Montenegro,832,76.3,15.1,12.2,20839,16,52
50,Kuwait,831,78.7,15.3,7.3,52920,-32,54
51,Brunei Darussalam,829,74.6,14.0,9.2,64490,-42,49
52,Russian Federation,822,69.4,15.8,12.8,27166,-1,49
53,Romania,821,74.2,14.2,11.3,30027,-4,53
54,Oman,816,72.5,14.6,11.7,27054,-2,51
55,Bahamas,812,71.6,12.9,12.6,30486,-8,58
56,Kazakhstan,811,69.4,15.8,12.3,23943,1,59
57,Trinidad and Tobago,810,73.0,14.5,11.6,23392,1,56
58,Costa Rica,809,77.0,16.5,8.8,19974,8,57
58,Uruguay,809,75.4,16.8,9.0,21269,5,55
60,Belarus,808,72.4,15.2,12.1,18849,8,60
61,Panama,805,76.2,13.1,10.5,26957,-8,67
62,Malaysia,803,74.9,13.3,10.6,26658,-8,61
63,Georgia,802,71.7,15.6,12.8,14664,17,64
63,Mauritius,802,73.6,15.2,10.4,22025,-1,62
63,Serbia,802,74.2,14.4,11.4,19123,4,62
66,Thailand,800,78.7,15.9,8.7,17030,6,64
,HIGH HUMAN DEVELOPMENT,,,,,,,
67,Albania,796,76.5,14.4,11.3,14131,17,68
68,Bulgaria,795,71.8,13.9,11.4,23079,-8,64
68,Grenada,795,74.9,18.7,9.0,13484,18,70
70,Barbados,790,77.6,15.7,9.9,12306,26,71
71,Antigua and Barbuda,788,78.5,14.2,9.3,16792,2,71
72,Seychelles,785,71.3,13.9,10.3,25831,-17,69
73,Sri Lanka,782,76.4,14.1,10.8,12578,21,75
74,Bosnia and Herzegovina,780,75.3,13.8,10.5,15242,4,73
75,Saint Kitts and Nevis,777,71.7,15.4,8.7,23358,-16,76
76,Iran (Islamic Republic of),774,73.9,14.6,10.6,13001,15,77
77,Ukraine,773,71.6,15.0,11.1,13256,11,78
78,North Macedonia,770,73.8,13.6,10.2,15918,-3,79
79,China,768,78.2,14.2,7.6,17504,-8,82
80,Dominican Republic,767,72.6,14.5,9.3,17990,-11,82
80,Moldova (Republic of),767,68.8,14.4,11.8,14875,-1,81
80,Palau,767,66.0,15.8,12.5,13819,5,80
83,Cuba,764,73.7,14.4,12.5,7879,37,73
84,Peru,762,72.4,15.4,9.9,12246,13,85
85,Armenia,759,72.0,13.1,11.3,13158,4,87
86,Mexico,758,70.2,14.9,9.2,17896,-16,88
87,Brazil,754,72.8,15.6,8.1,14370,-5,86
88,Colombia,752,72.8,14.4,8.9,14384,-7,88
89,Saint Vincent and the Grenadines,751,69.6,14.7,10.8,11961,11,82
90,Maldives,747,79.9,12.6,7.3,15448,-14,97
91,Algeria,745,76.4,14.6,8.1,10800,13,96
91,Azerbaijan,745,69.4,13.5,10.5,14257,-8,100
91,Tonga,745,71.0,16.0,11.4,6822,34,90
91,Turkmenistan,745,69.3,13.2,11.3,13021,-1,93
95,Ecuador,740,73.7,14.6,8.8,10312,11,99
96,Mongolia,739,71.0,15.0,9.4,10588,9,90
97,Egypt,731,70.2,13.8,9.6,11732,4,97
97,Tunisia,731,73.8,15.4,7.4,10258,10,94
99,Fiji,730,67.1,14.7,10.9,9980,9,94
99,Suriname,730,70.3,13.0,9.8,12672,-6,92
101,Uzbekistan,727,70.9,12.5,11.9,7917,18,107
102,Dominica,720,72.8,13.3,8.1,11488,0,106
102,Jordan,720,74.3,10.6,10.4,9924,8,104
104,Libya,718,71.9,12.9,7.6,15336,-27,117
105,Paraguay,717,70.3,13.0,8.9,12349,-10,100
106,"Palestine, State of",715,73.5,13.4,9.9,6583,21,109
106,Saint Lucia,715,71.1,12.9,8.5,12048,-7,104
108,Guyana,714,65.7,12.5,8.6,22465,-47,107
109,South Africa,713,62.3,13.6,11.4,12948,-17,102
110,Jamaica,709,70.5,13.4,9.2,8834,4,110
111,Samoa,707,72.8,12.4,11.4,5308,24,112
112,Gabon,706,65.8,13.0,9.4,13367,-25,113
112,Lebanon,706,75.0,11.3,8.7,9526,-1,103
114,Indonesia,705,67.6,13.7,8.6,11466,-11,116
115,Viet Nam,703,73.6,13.0,8.4,7867,6,113
,MEDIUM HUMAN DEVELOPMENT,,,,,,,
116,Philippines,699,69.3,13.1,9.0,8920,-3,113
117,Botswana,693,61.1,12.3,10.3,16198,-43,110
118,Bolivia (Plurinational State of),692,63.6,14.9,9.8,8111,0,119
118,Kyrgyzstan,692,70.0,13.2,11.4,4566,26,121
120,Venezuela (Bolivarian Republic of),691,70.6,12.8,11.1,4811,20,118
121,Iraq,686,70.4,12.1,7.9,9977,-12,122
122,Tajikistan,685,71.6,11.7,11.3,4548,23,126
123,Belize,683,70.5,13.0,8.8,6309,6,120
123,Morocco,683,74.0,14.2,5.9,7303,1,122
125,El Salvador,675,70.7,12.7,7.2,8296,-8,124
126,Nicaragua,667,73.8,12.6,7.1,5625,6,129
127,Bhutan,666,71.8,13.2,5.2,9438,-15,125
128,Cabo Verde,662,74.1,12.6,6.3,6230,2,127
129,Bangladesh,661,72.4,12.4,7.4,5472,4,128
130,Tuvalu,641,64.5,9.4,10.6,6351,-2,131
131,Marshall Islands,639,65.3,10.2,10.9,4620,12,131
132,India,633,67.2,11.9,6.7,659,-6,130
133,Ghana,632,63.8,12.0,8.3,5745,-2,135
134,Micronesia (Federated States of),628,70.7,11.5,7.8,3696,22,136
135,Guatemala,627,69.2,10.6,5.7,8723,-20,133
136,Kiribati,624,67.4,11.8,8.0,4063,14,137
137,Honduras,621,70.1,10.1,7.1,5298,-1,138
138,Sao Tome and Principe,618,67.6,13.4,6.2,4021,13,139
139,Namibia,615,59.3,11.9,7.2,8634,-23,134
140,Lao People's Democratic Republic,607,68.1,10.1,5.4,7700,-18,142
140,Timor-Leste,607,67.7,12.6,5.4,4461,7,140
140,Vanuatu,607,70.4,11.5,7.1,3085,23,142
143,Nepal,602,68.4,12.9,5.1,3877,10,144
144,Eswatini (Kingdom of),597,57.1,13.7,5.6,7679,-21,141
145,Equatorial Guinea,596,60.6,9.7,5.9,12074,-47,147
146,Cambodia,593,69.6,11.5,5.1,4079,3,148
146,Zimbabwe,593,59.3,12.1,8.7,3810,9,145
148,Angola,586,61.6,12.2,5.4,5466,-14,149
149,Myanmar,585,65.7,10.9,6.4,3851,5,145
150,Syrian Arab Republic,577,72.1,9.2,5.1,4192,-2,152
151,Cameroon,576,60.3,13.1,6.2,3621,6,150
152,Kenya,575,61.4,10.7,6.7,4474,-6,150
153,Congo,571,63.5,12.3,6.2,2889,11,153
154,Zambia,565,61.2,10.9,7.2,3218,7,154
155,Solomon Islands,564,70.3,10.3,5.7,2482,13,155
156,Comoros,558,63.4,11.9,5.1,3142,6,156
156,Papua New Guinea,558,65.4,10.4,4.7,4009,-4,157
158,Mauritania,556,64.4,9.4,4.9,5075,-20,158
159,Côte d'Ivoire,550,58.6,10.7,5.2,5217,-22,159
,LOW HUMAN DEVELOPMENT,,,,,,,
160,Tanzania (United Republic of),549,66.2,9.2,6.4,2664,7,160
161,Pakistan,544,66.1,8.7,4.5,4624,-19,161
162,Togo,539,61.6,13.0,5.0,2167,12,163
163,Haiti,535,63.2,9.7,5.6,2848,2,162
163,Nigeria,535,52.7,10.1,7.2,4790,-22,163
165,Rwanda,534,66.1,11.2,4.4,2210,6,165
166,Benin,525,59.8,10.8,4.3,3409,-7,166
166,Uganda,525,62.7,10.1,5.7,2181,6,166
168,Lesotho,514,53.1,12.0,6.0,2700,-2,168
169,Malawi,512,62.9,12.7,4.5,1466,13,169
170,Senegal,511,67.1,9.0,2.9,3344,-10,170
171,Djibouti,509,62.3,7.4,4.1,5025,-32,171
172,Sudan,508,65.3,7.9,3.8,3575,-14,171
173,Madagascar,501,64.5,10.1,5.1,1484,8,173
174,Gambia,500,62.1,9.4,4.6,2172,-1,173
175,Ethiopia,498,65.0,9.7,3.2,2361,-5,175
176,Eritrea,492,66.5,8.1,4.9,1729,3,176
177,Guinea-Bissau,483,59.7,10.6,3.6,1908,0,177
178,Liberia,481,60.7,10.4,5.1,1289,7,179
179,Congo (Democratic Republic of the),479,59.2,9.8,7.0,1076,9,180
180,Afghanistan,478,62.0,10.3,3.0,1824,-2,177
181,Sierra Leone,477,60.1,9.6,4.6,1622,-1,181
182,Guinea,465,58.9,9.8,2.2,2481,-13,182
183,Yemen,455,63.8,9.1,3.2,1314,1,183
184,Burkina Faso,449,59.3,9.1,2.1,2118,-8,185
185,Mozambique,446,59.3,10.2,3.2,1198,2,184
186,Mali,428,58.9,7.4,2.3,2133,-11,186
187,Burundi,426,61.7,10.7,3.1,732,4,187
188,Central African Republic,404,53.9,8.0,4.3,966,1,188
189,Niger,400,61.6,7.0,2.1,1240,-3,189
190,Chad,394,52.5,8.0,2.6,1364,-7,190
191,South Sudan,385,55.0,5.5,5.7,768,-1,191
